Final_Liquid Inlet-SIM,Final_Gas Inlet-SIM,Gas Outlet_16-SIM
0.005652791,0.008746356,0.003067717
0.005783411,0.008746356,0.003159597
0.005915258,0.008746356,0.003252248
0.006048349,0.008746356,0.003345672
0.006182701,0.008746356,0.003439871
0.006318333,0.008746356,0.003534848
0.006455263,0.008746356,0.003630606
0.00659351,0.008746356,0.00372715
0.006733092,0.008746356,0.003824483
0.006874029,0.008746356,0.003922611
0.007016341,0.008746356,0.004021539
0.007160049,0.008746356,0.004121271
0.007305172,0.008746356,0.004221815
0.007451733,0.008746356,0.004323176
0.007599751,0.008746356,0.00442536
0.00774925,0.008746356,0.004528375
0.007900251,0.008746356,0.004632227
0.008052778,0.008746356,0.004736924
0.008206853,0.008746356,0.004842474
0.0083625,0.008746356,0.004948883
0.00223,0.010204082,0.000632267
0.002330533,0.010204082,0.000683088
0.002431893,0.010204082,0.000736456
0.002534091,0.010204082,0.00079223
0.002637137,0.010204082,0.000850262
0.002741042,0.010204082,0.000910405
0.002845816,0.010204082,0.000972518
0.002951471,0.010204082,0.001036469
0.003058017,0.010204082,0.001102134
0.003165466,0.010204082,0.0011694
0.00327383,0.010204082,0.001238165
0.00338312,0.010204082,0.001308339
0.003493348,0.010204082,0.001379838
0.003604526,0.010204082,0.001452592
0.003716667,0.010204082,0.001526537
0.003829783,0.010204082,0.001601616
0.003943886,0.010204082,0.00167778
0.004058991,0.010204082,0.001754986
0.00417511,0.010204082,0.001833196
0.004292257,0.010204082,0.001912377
0.004410444,0.010204082,0.001992502
0.004529688,0.010204082,0.002073545
0.00465,0.010204082,0.002155484
0.004771396,0.010204082,0.002238302
0.004893891,0.010204082,0.002321981
0.0050175,0.010204082,0.00240651
0.005142237,0.010204082,0.002491877
0.005268119,0.010204082,0.002578071
0.005395161,0.010204082,0.002665085
0.00552338,0.010204082,0.002752913
0.005652791,0.010204082,0.00284155
0.005783411,0.010204082,0.002930991
0.005915258,0.010204082,0.003021234
0.006048349,0.010204082,0.003112277
0.006182701,0.010204082,0.00320412
0.006318333,0.010204082,0.003296761
0.006455263,0.010204082,0.003390203
0.00659351,0.010204082,0.003484446
0.006733092,0.010204082,0.003579491
0.006874029,0.010204082,0.003675342
0.007016341,0.010204082,0.003772002
0.007160049,0.010204082,0.003869475
0.007305172,0.010204082,0.003967763
0.007451733,0.010204082,0.004066873
0.007599751,0.010204082,0.004166808
0.00774925,0.010204082,0.004267574
0.007900251,0.010204082,0.004369177
0.008052778,0.010204082,0.004471622
0.008206853,0.010204082,0.004574917
0.0083625,0.010204082,0.004679067
0.00223,0.011661808,0.000567324
0.002330533,0.011661808,0.000610079
0.002431893,0.011661808,0.000655429
0.002534091,0.011661808,0.000703314
0.002637137,0.011661808,0.000753655
0.002741042,0.011661808,0.000806357
0.002845816,0.011661808,0.000861313
0.002951471,0.011661808,0.000918414
0.003058017,0.011661808,0.000977547
0.003165466,0.011661808,0.001038598
0.00327383,0.011661808,0.001101462
0.00338312,0.011661808,0.001166034
0.003493348,0.011661808,0.001232218
0.003604526,0.011661808,0.001299926
0.003716667,0.011661808,0.001369077
0.003829783,0.011661808,0.001439595
0.003943886,0.011661808,0.001511414
0.004058991,0.011661808,0.001584473
0.00417511,0.011661808,0.001658718
0.004292257,0.011661808,0.001734101
0.004410444,0.011661808,0.001810578
